序号,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
2362,18.8,18.8,1013,8,0,2.1,18,3,5,34,2,57,0.3
2363,19.7,19,1013,8,0,2.8,42,29,0,25,2,73,0.3
2364,20.4,19.5,1012,8,0,4.2,39,3,39,24,2,77,0.3
2365,22.1,21.8,1011,8,0,5,54,7,57,27,2,76,0.3
2366,22.5,22.3,1009,8,0,5,55,3,60,22,2,90,0.3
2367,23.4,23.4,1008,8,0,5.7,50,16,50,15,2,99,0.3
2368,23.5,23.5,1007,9,0,5.8,58,10,66,13,2,105,0.3
2369,24,24.2,1006,9,0,6,63,6,76,15,2,106,0.3
2370,23.3,22.9,1005,10,0,7.5,77,24,103,17,3,107,0.3
2371,22.5,22.5,1005,11,0,4.2,96,25,142,21,4,104,0.4
2372,21.1,20.5,1005,14,0,4,95,41,139,28,4,94,0.4
2373,19.9,18.6,1006,20,0,5.1,91,20,132,33,4,86,0.4
2374,19.3,18.1,1006,23,0,5.9,118,35,186,40,8,76,0.5
2375,18,17.6,1006,26,0,3.3,126,60,202,45,14,76,0.6
2376,16.5,16.4,1006,30,0,2.5,121,72,191,50,20,61,0.6
2377,15.7,15.7,1006,33,0,2.4,100,54,150,52,21,47,0.6
2378,14.3,14.1,1005,37,0,2.9,100,54,150,52,21,47,0.6
2379,13,13.3,1005,40,0,0.9,,,,,,,
2380,11.5,11.3,1005,47,0,1.6,99,67,148,77,13,2,0.7
2381,9.5,9.2,1004,53,0,0.8,,,,,,,
2382,9.8,9.5,1005,53,0,0.8,80,59,108,71,8,2,0.8
2383,10.2,9.9,1005,53,0,0.9,85,42,119,70,8,2,0.8
2384,14.2,14.5,1005,44,0,0.6,89,61,127,67,6,2,0.9
2385,17.7,17.5,1006,33,0,2.1,96,59,141,68,9,2,1
2386,20.6,20.3,1006,24,0,1.8,108,66,165,86,15,3,1.1
2387,23.6,24.3,1006,18,0,2.1,109,71,167,92,16,14,1
2388,25,25.9,1006,15,0,3.6,113,85,171,109,15,19,1
2389,24.3,24.5,1005,24,0,4.8,99,74,108,100,13,38,1
2390,21.8,20.9,1005,33,0,6.1,72,47,94,64,12,72,0.7
2391,21.2,20.6,1005,31,0,3.9,144,100,237,46,17,120,0.7
2392,19,17.8,1004,28,0,6.4,269,123,398,46,24,103,1.2
2393,17.7,17,1005,27,0,4.6,228,108,369,37,19,113,1
2394,16.4,16.2,1006,27,0,3.5,195,72,339,30,11,106,0.7
2395,14.5,14.2,1006,27,0,4.8,187,68,324,32,9,95,0.6
2396,13,12.7,1008,29,0,5,172,65,294,27,7,97,0.6
2397,12.3,12.1,1009,32,0,4.1,142,58,233,27,6,89,0.5
2398,11.9,11.8,1010,31,0,3.8,130,49,209,32,6,73,0.5
2399,11.4,12.2,1011,24,0,1.7,113,42,176,35,6,63,0.5
2400,10.6,11.6,1011,22,0,1.6,97,36,143,26,7,70,0.6
2401,10.2,11.1,1012,21,0,2.2,93,45,136,29,12,61,0.8
2402,9.5,10.4,1012,22,0,2.1,93,35,135,32,19,57,1
2403,7.9,9.2,1012,28,0,0.5,107,40,163,39,23,44,1.1
2404,7.1,7.9,1012,35,0,0.6,,,,,,,
2405,6.1,7,1012,38,0,0.2,,,,,,,
2406,5.5,5.9,1012,42,0,0.5,,,,,,,
2407,5.6,6,1013,44,0,0.3,84,42,118,50,12,22,1.1
2408,9.9,11.1,1013,28,0,0.6,88,19,125,75,14,2,1.2
2409,12.2,13.6,1014,21,0,0.6,88,53,125,68,16,8,1.2
2410,14.2,15.4,1014,19,0,0.8,99,74,116,58,23,29,1.2
2411,15.6,16.2,1014,17,0,1.9,122,80,193,60,20,31,1.1
2412,16.6,16.8,1014,16,0,2.6,125,68,200,51,17,46,0.8
2413,16.9,17.3,1014,16,0,2,128,61,205,39,15,72,0.8
2414,18.3,18.4,1013,16,0,1.8,126,49,202,34,16,90,0.8
2415,19.2,18.9,1013,15,0,2.3,122,69,193,33,17,100,0.8
2416,19.1,18.7,1012,16,0,2.5,125,67,200,29,17,112,0.8
2417,19.2,18.5,1012,14,0,3.6,131,56,212,33,17,110,0.9
2418,18.7,18.3,1012,14,0,3.3,128,65,206,29,16,124,0.8
2419,16.4,16.1,1013,20,0,4.5,119,70,187,31,20,116,1
2420,14.1,14.3,1015,17,0,4.3,110,65,170,40,24,115,1.3
2421,12.3,12.7,1017,22,0,3.1,159,57,268,38,15,87,0.8
2422,10.4,10.6,1018,32,0,2.6,127,39,203,34,10,76,0.6
2423,9.5,9.7,1019,36,0,2.1,106,46,161,34,14,73,1
2424,8.7,9.1,1020,38,0,1.2,100,40,150,40,15,62,0.8
2425,8.1,8.3,1020,40,0,1.4,88,40,125,40,15,56,0.6
2426,6.8,6.8,1020,44,0,1.1,80,39,110,36,14,57,0.6
2427,6,5.7,1019,48,0,1.2,72,43,93,46,12,45,0.7
2428,5,4.6,1019,51,0,0.8,71,26,91,41,11,46,0.8
2429,4.6,4.1,1019,54,0,0.6,,,,,,,
2430,5.6,5.1,1019,52,0,1,67,24,84,55,10,30,0.7
2431,6.7,6.5,1019,45,0,1.4,66,29,82,59,8,27,0.6
2432,8.7,9.1,1019,41,0,0.8,66,38,82,60,8,25,0.7
2433,9.8,10,1019,37,0,1.9,64,25,78,62,12,27,0.8
2434,10.7,11.2,1018,29,0,2.1,69,43,88,64,16,23,0.9
2435,11,11.5,1018,27,0,2.5,66,32,82,43,17,52,0.8
2436,12.2,12.6,1016,25,0,2.9,56,34,62,30,10,70,0.5
2437,13.2,13.5,1015,24,0,3.1,62,35,74,28,8,75,0.5
2438,14.2,14.3,1013,24,0,3.6,,,,,,,
2439,14.8,15.3,1012,22,0,2.1,28,9,0,21,9,89,0.5
2440,15,15,1010,23,0,3.5,46,32,0,20,9,94,0.5
2441,15.8,16,1008,21,0,2.9,59,42,0,21,9,97,0.5
2442,14.6,14.9,1008,23,0,2.5,67,48,0,26,11,93,0.6
2443,12.5,12.6,1008,32,0,2.9,95,48,140,31,12,96,0.7
2444,11.4,11.2,1008,39,0,2.7,103,66,155,39,14,87,0.7
2445,10.7,10.4,1009,43,0,2.5,101,51,151,48,13,57,0.6
2446,10.2,9.7,1010,49,0,2.2,90,53,129,56,14,38,0.7
2447,9.6,8.7,1009,56,0,2.1,91,55,132,53,13,35,0.7
2448,9.4,8.3,1009,61,0,1.8,85,53,119,53,13,32,0.7
2449,9.2,8.2,1008,59,0,1.7,84,56,118,57,12,22,0.7
2450,9.2,8.5,1007,60,0,0.8,80,59,109,58,13,18,0.8
2451,9.3,8.2,1006,64,0,1.4,81,59,111,65,13,7,0.8
2452,7.8,5.3,1006,84,0.1,1.5,83,61,100,71,11,2,0.8
2453,7.5,4.4,1005,88,0,2.5,,,,,,,
2454,7.5,5.1,1004,81,0,1.6,88,65,78,62,2,2,0.7
2455,7,4.4,1004,84,0,1.3,88,65,86,65,2,2,0.8
2456,8.1,6,1005,75,0,1.9,92,68,80,64,3,2,0.9
2457,9,7.1,1005,73,0,2.2,90,67,76,54,5,3,1
2458,8.7,6.8,1006,72,0,2.1,102,76,82,54,9,9,1
2459,10.1,8.7,1005,67,0,1.9,107,80,93,57,8,5,1
2460,11.8,10.5,1004,64,0,2.7,97,72,0,42,10,25,0.9
2461,12.6,11.5,1004,59,0,3.1,107,80,0,49,13,29,1
2462,14.1,13.3,1003,55,0,2.6,119,90,0,46,12,48,0.9
2463,17.6,17.4,1001,44,0,1.4,124,94,0,46,10,60,0.9
2464,N/A,N/A,N/A,N/A,N/A,N/A,118,89,0,39,9,80,0.8
2465,N/A,N/A,N/A,N/A,N/A,N/A,113,85,0,44,8,85,0.9
2466,18,17.9,1002,42,0,1.1,105,79,86,42,6,89,0.7
2467,17.3,16.6,1001,46,0,3.4,89,66,72,43,5,79,0.7
2468,15.8,15.3,1002,51,0,2.1,94,70,86,52,5,75,0.8
2469,14.6,14.2,1003,55,0,1.2,,,,,,,
2470,13.9,13.2,1003,58,0,1.8,104,78,93,60,4,51,0.8
2471,13.6,13,1003,59,0,1.5,,,,,,,
2472,12.9,12,1003,62,0,1.7,,,,,,,
2473,12.6,11.5,1003,66,0,1.8,127,96,100,80,2,6,1
2474,N/A,N/A,N/A,N/A,N/A,N/A,130,99,100,79,2,2,1
2475,12,10.7,1002,69,0,1.8,142,108,110,89,3,2,1
2476,10.3,8.7,1001,76,0,1.1,162,123,0,82,2,2,1
2477,8.7,6.7,1001,84,0,0.5,,,,,,,
2478,8.2,5.6,1001,89,0,1.1,163,124,0,84,2,2,1
2479,8,5.4,1001,92,0,0.5,170,129,139,78,3,2,1.2
2480,9.7,7.5,1001,89,0,0.7,163,124,145,69,2,2,1.3
2481,11.7,10.2,1001,81,0,0.8,163,124,145,69,2,2,1.3
2482,13.6,12.5,1001,74,0,1.1,246,196,204,86,13,2,1.7
2483,15.3,14.5,1000,67,0,1.4,246,196,204,86,13,2,1.7
2484,17.7,16.9,1000,57,0,2.7,233,183,0,99,18,17,1.4
2485,19.8,19.4,999,47,0,1.2,253,203,205,108,19,32,1.6
2486,21.9,21.7,998,44,0,2.1,315,265,0,118,22,52,1.8
2487,23.7,24,997,31,0,2.8,304,254,269,85,25,106,1.6
2488,25.1,21.9,997,29,0,2.2,287,237,268,69,22,128,1.4
2489,24.9,25.7,997,27,0,2.5,231,181,206,54,14,133,1.1
2490,25.4,22.1,998,23,0,1.6,160,122,169,39,10,145,0.8
2491,25.1,20.7,999,9,0,3.1,152,116,214,32,10,161,0.7
2492,23.4,24.3,1000,10,0,1.9,79,56,107,19,2,107,0.4
2493,23.1,23.4,1002,9,0,3.7,57,5,64,22,2,88,0.4
2494,N/A,N/A,N/A,N/A,N/A,N/A,67,15,83,21,2,85,0.4
2495,20.8,20.7,1004,11,0,2,78,12,105,17,2,89,0.3
2496,19.9,19.4,1005,13,0,1.9,87,20,124,14,2,93,0.3
2497,19.6,18.8,1005,13,0,3.3,81,16,112,16,2,81,0.3
2498,18.2,18,1006,15,0,2.9,69,20,88,24,2,68,0.3
2499,17.4,17.4,1007,15,0,2.8,87,26,123,22,2,75,0.3
2500,17,17.4,1008,15,0,1.9,113,35,176,26,2,65,0.3
2501,16.7,16.9,1009,19,0,2.3,,,,,,,
2502,15.1,15.5,1010,23,0,2.2,140,54,229,15,2,76,0.2
2503,13.9,14.3,1011,27,0,2.1,107,34,164,11,2,80,0.2
2504,15.6,15.3,1012,25,0,4.3,87,30,123,21,2,64,0.2
2505,16.8,16,1013,23,0,6.3,62,22,73,26,2,59,0.3
2506,18.1,17.7,1013,20,0,3.6,,,,,,,
2507,19.2,18.4,1013,16,0,4,55,9,60,23,2,68,0.3
2508,N/A,N/A,N/A,N/A,N/A,N/A,26,5,26,18,2,80,0.3
2509,21.4,21.5,1013,13,0,1.9,30,14,20,13,2,93,0.3
2510,21.9,21.8,1012,14,0,3.2,33,5,24,12,2,103,0.3
2511,22.8,23,1011,13,0,3.4,53,37,52,14,2,108,0.3
2512,23.3,23.6,1010,14,0,3.9,59,32,67,18,2,111,0.3
2513,23,23,1010,14,0,4.7,56,36,62,14,2,123,0.3
2514,22,21.9,1010,21,0,3.3,,,,,,,
2515,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2516,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2517,16.1,16.2,1012,27,0,2.4,,,,,,,
2518,14.9,15.1,1012,32,0,2,,,,,,,
2519,13.1,13.2,1013,38,0,1.7,,,,,,,
2520,11.6,11.6,1013,44,0,1.3,,,,,,,
2521,11.2,10.9,1013,47,0,1.7,,,,,,,
2522,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2523,10.3,9.5,1012,51,0,2.8,,,,,,,
2524,10.5,10.2,1011,47,0,1.7,,,,,,,
2525,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2526,8.1,7.3,1010,57,0,1.2,,,,,,,
2527,8.1,7.5,1010,57,0,0.8,,,,,,,
2528,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2529,13.5,13.7,1010,35,0,1.8,,,,,,,
2530,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
2531,16.9,17.2,1009,29,0,1.2,,,,,,,
2532,17.9,17.8,1009,29,0,1.9,,,,,,,
2533,19.7,19.1,1007,29,0,2.1,,,,,,,
2534,20.6,20.2,1007,28,0,2,93,69,110,61,38,59,1.8
2535,N/A,N/A,N/A,N/A,N/A,N/A,98,73,117,68,37,59,1.8
2536,22,21.7,1005,29,0,3.3,104,78,137,57,33,88,1.6
2537,22,21.9,1004,31,0,2.7,105,71,159,44,25,116,1.3
2538,21.5,21.2,1004,34,0,2.4,,,,,,,
2539,21.2,21,1004,35,0,1.8,118,71,185,38,20,143,0.9
2540,20.6,20.5,1005,37,0,0.8,113,80,175,40,20,146,1
2541,20,19.3,1006,33,0,2,113,85,165,44,19,126,1
2542,19.7,18.8,1006,36,0,3.5,124,94,151,100,21,33,1.5
2543,18.4,17.7,1007,46,0,3.1,,,,,,,
2544,17.2,16.3,1007,51,0,4.2,,,,,,,
2545,14.9,13.8,1008,68,0.1,2.5,73,43,96,14,5,86,0.5
2546,14,12.5,1007,74,0.1,2.7,68,37,86,16,4,75,0.5
2547,13,11.3,1007,82,0.2,1.7,40,27,40,16,2,62,0.5
2548,12.8,11.4,1006,84,0.2,0.5,32,22,25,20,2,54,0.5
2549,12.7,11,1005,82,0.1,1.5,,,,,,,
2550,12.8,11.4,1005,80,0,0.9,23,16,20,13,2,47,0.3
2551,12.9,11.4,1005,81,0,1.2,36,25,29,18,2,44,0.3
2552,13.8,12.5,1005,75,0,1.5,39,27,39,34,2,29,0.4
2553,15.8,15.4,1005,37,0,3.6,39,27,39,34,2,29,0.4
2554,16,15.8,1005,32,0,3,111,53,171,39,3,24,0.5
2555,15.9,15.6,1006,27,0,4.1,334,99,447,17,3,55,0.4
2556,16.4,15.8,1006,27,0,5.2,124,55,197,11,2,69,0.3
2557,17,16.3,1005,26,0,5.7,77,35,103,11,2,73,0.3
2558,17.7,17.2,1005,26,0,3.9,60,20,69,10,2,79,0.3
2559,18.1,17.3,1004,24,0,5.4,54,20,58,10,2,82,0.3
2560,18.1,17.1,1004,22,0,6.3,41,18,41,9,2,86,0.3
2561,18.3,17.4,1003,21,0,5.6,,,,,,,
2562,18,16.8,1004,19,0,7.9,33,7,33,9,2,86,0.2
2563,17.2,16.5,1005,20,0,6.1,,,,,,,
2564,16.4,15.8,1006,21,0,5.8,,,,,,,
2565,15.6,15.5,1007,23,0,3.8,33,12,33,12,2,81,0.2
2566,15.1,14.9,1008,24,0,4.2,27,10,27,15,2,77,0.3
2567,14.5,14.9,1008,25,0,2,,,,,,,
2568,14.5,14.9,1009,23,0,2.5,27,10,27,22,2,64,0.3
2569,13.9,14.3,1009,22,0,2.6,22,8,22,20,2,66,0.3
2570,14.2,14.5,1008,19,0,3.2,,,,,,,
2571,12.8,14,1008,22,0,0.8,28,13,25,10,2,87,0.2
2572,13.7,14.1,1008,19,0,3,27,8,23,11,2,86,0.2
2573,13.7,14.4,1007,18,0,2.4,,,,,,,
2574,13.6,13.7,1007,17,0,4.7,29,8,16,9,2,92,0.2
2575,13.2,13.6,1008,18,0,3.4,30,6,25,8,2,94,0.2
2576,14.2,14.5,1008,18,0,3.6,29,6,23,10,2,92,0.2
2577,15.3,15.1,1008,16,0,5.5,29,6,23,10,2,92,0.2
2578,16.2,15.6,1008,16,0,6.8,27,9,25,16,2,86,0.2
2579,16.7,15.9,1009,16,0,7.2,28,12,28,13,2,88,0.2
2580,17.5,16.8,1008,16,0,5.8,,,,,,,
2581,17.8,17,1007,14,0,6.1,,,,,,,
2582,19.1,18.3,1007,15,0,4.4,31,14,28,10,2,97,0.3
2583,18.7,18.2,1006,14,0,3.8,,,,,,,
2584,20.1,19.1,1006,11,0,3.6,34,15,23,9,2,106,0.2
2585,19.7,18.7,1005,10,0,4.2,32,13,0,9,2,102,0.2
2586,19.1,18.1,1005,11,0,5.5,,,,,,,
2587,17.8,17.9,1005,13,0,2.4,,,,,,,
2588,16.8,17.3,1006,14,0,1.7,30,9,30,12,2,93,0.2
2589,16.4,16.9,1006,16,0,2,31,9,31,21,2,79,0.3
2590,16.6,16.6,1007,18,0,3.5,35,12,35,24,2,74,0.3
2591,14.4,13.8,1009,32,0,5.8,32,13,32,22,2,77,0.3
2592,12.9,12.8,1009,40,0,2.1,,,,,,,
2593,11.6,11.3,1009,43,0,2.6,,,,,,,
2594,N/A,N/A,N/A,N/A,N/A,N/A,42,11,42,19,2,75,0.3
2595,11.8,12,1008,42,0,1.2,24,13,24,28,2,54,0.3
2596,11.5,11.2,1008,39,0,3.1,20,9,10,21,2,63,0.3
2597,11.2,11.2,1008,38,0,2.4,,,,,,,
2598,10.8,10.8,1008,37,0,2.3,,,,,,,
2599,10.7,10.8,1009,36,0,2.1,24,8,21,12,2,74,0.2
2600,12.1,12.4,1009,32,0,2,30,11,30,14,2,71,0.3
2601,13.7,14.3,1010,24,0,1.9,,,,,,,
2602,15,15.1,1010,20,0,3.5,33,12,33,30,2,53,0.4
2603,15.7,16.1,1010,21,0,2.2,25,10,15,12,2,79,0.3
2604,16.8,16.6,1010,19,0,4.1,,,,,,,
2605,17.5,17.2,1010,17,0,3.7,39,13,39,9,2,92,0.3
2606,18.4,18.1,1009,15,0,3,30,10,24,10,2,94,0.3
2607,19.4,18.7,1009,12,0,3.4,32,7,21,8,2,101,0.3
2608,19.6,19,1008,12,0,2.9,34,11,15,8,2,106,0.2
2609,20.2,19.6,1008,10,0,2.4,35,12,25,8,2,111,0.2
2610,19.5,19.4,1008,11,0,1.4,37,3,17,8,2,116,0.2
2611,18.8,18.5,1009,13,0,2.8,36,3,13,10,2,115,0.2
2612,17.2,17.1,1010,17,0,3.5,36,6,36,11,2,111,0.2
2613,15.9,16.5,1011,21,0,1.4,,,,,,,
2614,14.6,15.2,1012,24,0,1.5,62,21,73,35,2,79,0.3
2615,13.6,13.9,1012,27,0,2.6,65,22,79,52,3,55,0.4
2616,13.4,14,1012,26,0,1.8,,,,,,,
2617,11.9,12.6,1013,32,0,1,67,39,84,67,4,27,0.4
2618,11.9,12.4,1013,32,0,1.5,63,33,75,59,4,32,0.4
2619,11.6,11.9,1013,33,0,2,67,39,83,68,5,20,0.4
2620,11,11.4,1013,35,0,1.4,70,43,89,61,9,25,0.5
2621,9.9,9.9,1013,41,0,1.8,,,,,,,
2622,8.6,7.4,1014,62,0,1.7,63,45,72,48,15,34,0.5
2623,9,7.5,1014,67,0,1.8,63,44,76,70,11,5,0.6
2624,10,8.6,1014,64,0,2.4,89,65,128,71,8,2,1.6
2625,10.4,9.3,1015,63,0,1.7,98,73,113,69,12,2,2.4
2626,11.5,10.7,1015,59,0,1.5,103,77,116,70,17,2,2.5
2627,12.2,11.6,1015,56,0,1.5,103,77,116,70,17,2,2.5
2628,12.9,12.1,1014,53,0,2.9,112,84,120,70,31,6,2.2
2629,14,13.5,1013,52,0,2.1,112,84,120,70,31,6,2.2
2630,14.3,13.6,1012,50,0,3.3,120,91,126,73,32,11,2
2631,15,14.5,1012,51,0,2,135,103,145,71,38,19,2.2
2632,15.3,14.7,1011,52,0,2.3,142,108,130,65,42,37,2.1
2633,15.1,14.4,1010,54,0,2.6,,,,,,,
2634,15,14.3,1010,54,0,2.6,124,94,127,61,28,51,1.9
2635,14.8,14.2,1010,55,0,2.1,125,99,121,66,24,43,1.9
2636,14.4,13.6,1011,58,0,2.3,129,98,124,73,24,30,2
2637,14.4,13.6,1012,57,0,2.3,119,90,113,65,23,35,1.5
2638,N/A,N/A,N/A,N/A,N/A,N/A,97,72,99,53,20,46,0.9
2639,14.1,14,1012,49,0,1.2,100,75,94,55,22,40,1
2640,13.6,13.2,1012,51,0,1.6,99,74,81,48,24,42,1.2
2641,13.7,13.2,1012,53,0,1.9,98,73,74,44,21,43,1.1
2642,13.3,12.7,1012,54,0,2,90,67,70,43,16,37,1.1
2643,12.3,11.6,1011,59,0,1.4,,,,,,,
2644,11.8,10.8,1011,61,0,2.1,98,73,82,43,12,32,1.1
2645,11.5,10.8,1011,62,0,1,,,,,,,
2646,10.9,10.1,1011,63,0,1,128,97,99,66,14,2,1.2
2647,11.1,10.1,1011,62,0,1.6,93,69,0,38,9,27,0.8
2648,12.2,11.8,1011,58,0,0.7,,,,,,,
2649,13.8,13.1,1011,51,0,2.7,77,56,0,36,9,37,0.7
2650,15.9,15.6,1011,43,0,2.4,75,55,0,37,11,40,0.8
2651,19.2,18.5,1011,37,0,3,88,65,68,37,13,45,0.8
2652,21.6,21.3,1010,30,0,2.8,,,,,,,
2653,23.1,23.5,1009,25,0,2.1,128,97,101,45,14,69,1.1
2654,25.4,21.4,1008,17,0,3.1,127,96,0,40,14,88,1
2655,25.9,22,1007,12,0,1.4,122,92,0,30,9,108,0.8
2656,26.8,22.4,1005,13,0,3.1,,,,,,,
2657,27.1,22.9,1004,14,0,2.6,43,30,0,17,3,123,0.4
2658,25.7,21.3,1004,16,0,4.1,,,,,,,
2659,23.7,23.8,1004,24,0,4.6,59,42,44,22,3,132,0.4
2660,N/A,N/A,N/A,N/A,N/A,N/A,94,55,137,32,4,131,0.5
2661,20.7,20.2,1005,35,0,2.5,102,76,132,40,6,125,0.7
2662,19.6,19,1005,39,0,2.2,,,,,,,
2663,18.1,17.7,1005,43,0,2,,,,,,,
2664,17.7,17.2,1004,44,0,2.6,103,77,124,57,11,76,0.7
2665,16.3,16.2,1004,49,0,1.1,123,93,152,66,13,60,0.8
2666,14.9,14.6,1003,53,0,1.3,129,98,135,74,10,36,0.8
2667,12.7,12.1,1002,62,0,0.9,,,,,,,
2668,11.2,10.3,1002,68,0,0.7,137,104,133,101,6,2,0.9
2669,10.6,9.3,1001,74,0,0.7,,,,,,,
2670,10.2,8.6,1001,75,0,1.4,139,106,119,84,3,2,1.2
2671,10.8,9.3,1001,74,0,1.5,120,91,114,81,3,2,1.4
2672,12.9,11.5,1001,73,0,2.2,117,88,125,87,4,2,1.3
2673,14.9,14.2,1000,64,0,1.2,125,95,168,97,7,2,1.3
2674,17.3,16.9,999,54,0,1.4,162,123,195,104,11,2,1.3
2675,20.5,20,999,45,0,1.8,210,160,212,106,17,16,1.6
2676,24.2,24.7,998,31,0,2.6,242,192,210,101,19,44,1.8
2677,27.2,23.5,997,23,0,2.5,220,170,0,97,15,76,1.5
2678,29.7,25.3,996,17,0,3.6,207,157,169,114,11,73,1.2
2679,30.6,26,996,15,0,3.9,,,,,,,
2680,31.4,26.8,995,12,0,2.9,112,84,100,32,7,144,0.5
2681,30.6,26.2,995,14,0,2.5,102,76,0,21,6,166,0.4
2682,30,25.4,996,11,0,2.8,68,49,82,21,5,170,0.4
2683,28.3,23.5,997,11,0,3.7,161,66,272,16,2,129,0.3
2684,26.3,22,998,11,0,2.6,179,69,308,16,2,137,0.3
2685,24.5,25.1,1000,9,0,4.9,151,64,251,17,2,123,0.3
2686,22.9,23,1001,8,0,4.4,100,55,149,17,2,106,0.3
2687,21.7,21.7,1002,8,0,3,79,27,107,18,2,96,0.2
2688,20.1,19.8,1003,8,0,1.3,93,32,136,22,2,86,0.2
2689,19.7,19.1,1004,8,0,2.6,115,42,180,19,2,87,0.2
2690,18.6,18.6,1004,9,0,2.3,96,45,142,21,2,83,0.2
2691,18.5,18.3,1004,10,0,2.9,111,41,172,20,2,73,0.2
2692,17.9,18.1,1004,11,0,2,82,4,114,14,2,84,0.2
2693,16.2,17.2,1004,12,0,1,,,,,,,
2694,16.3,17.1,1004,12,0,1.3,102,76,114,12,2,80,0.2
2695,17.4,17.6,1004,11,0,2.5,68,40,86,11,2,89,0.2
2696,19.1,19.2,1005,11,0,1.4,76,34,102,12,2,92,0.2
2697,19.9,18.9,1006,8,0,3.6,66,27,81,18,2,86,0.3
2698,20.6,19.6,1006,7,0,5,74,23,98,17,2,91,0.3
2699,21.2,20.8,1006,7,0,3.7,85,35,120,12,2,100,0.2
2700,22.2,21.9,1006,7,0,5.2,,,,,,,
2701,23.3,23.3,1006,6,0,5.7,85,45,119,13,2,103,0.3
2702,24.3,24.9,1005,6,0,4.6,75,24,99,11,2,112,0.2
2703,25.5,20.4,1005,6,0,5,,,,,,,
2704,25.8,21.1,1004,7,0,3.2,67,31,84,9,2,116,0.2
2705,24.8,25.8,1003,7,0,3.5,60,24,69,10,2,116,0.2
2706,24.9,25.9,1004,7,0,3.9,,,,,,,
2707,24,24.9,1004,6,0,3,57,40,58,12,2,114,0.2
2708,23.2,23.8,1005,7,0,2.8,52,24,53,13,2,110,0.2
2709,22,22.8,1006,8,0,1.1,58,33,66,19,2,96,0.3
2710,21.2,21.2,1007,8,0,2.2,63,3,76,25,2,80,0.3
2711,18.7,18.4,1007,11,0,2.8,64,12,78,32,2,58,0.4
2712,16.9,17.5,1008,14,0,1.4,44,14,44,40,2,51,0.4
2713,16.7,17.2,1009,11,0,2.2,50,3,50,48,2,36,0.5
2714,15.8,16.4,1010,12,0,2.2,,,,,,,
2715,14.7,15.5,1010,14,0,1.9,46,32,46,40,2,40,0.4
2716,12.7,13.9,1010,18,0,1.2,38,3,38,37,2,45,0.3
2717,12.1,13.3,1010,18,0,1.2,,,,,,,
2718,13.3,14.2,1011,14,0,2.2,52,30,53,30,2,55,0.2
2719,12.9,14.1,1011,16,0,1.4,45,26,45,27,2,56,0.2
2720,15,15.6,1012,14,0,2.4,51,16,52,32,2,46,0.2
2721,16.5,16.5,1012,11,0,4,57,8,63,38,2,36,0.3
2722,17.7,17.5,1013,10,0,3.6,49,34,35,30,2,51,0.3
2723,18.6,18.2,1012,10,0,3.5,32,17,32,21,2,66,0.3
2724,19.3,19.1,1012,9,0,2,34,15,34,22,2,69,0.3
2725,20,19.1,1011,8,0,2.6,34,11,34,17,2,81,0.2
2726,21,21.1,1010,9,0,1.6,,,,,,,
2727,21.1,20.7,1010,9,0,3.3,30,8,24,14,2,94,0.2
2728,21.1,20.7,1009,10,0,3.6,43,24,43,15,2,98,0.4
2729,21,20.5,1009,12,0,3.5,79,58,0,18,2,99,0.3
2730,20.6,20,1009,11,0,3.2,57,8,63,16,2,115,0.3
2731,19.8,18.9,1009,12,0,3.3,,,,,,,
2732,18.5,18.4,1009,14,0,2.4,63,33,76,20,3,97,0.3
2733,17.7,17.6,1010,18,0,3,65,40,80,26,5,87,0.4
2734,16.3,16.3,1011,19,0,3.4,,,,,,,
2735,15.3,15.8,1011,21,0,1.9,87,44,124,74,5,15,0.6
2736,14.2,14.9,1011,23,0,1.4,83,52,115,62,10,19,0.8
2737,12.9,13.8,1011,27,0,1,76,35,101,50,11,25,0.6
2738,10.9,11.6,1011,34,0,0.9,71,42,91,53,12,16,0.5
2739,9.3,9.8,1010,41,0,0.5,77,37,103,61,13,3,0.6
2740,8.6,8.5,1010,46,0,1.2,77,37,103,61,13,3,0.6
2741,8.9,8.5,1010,47,0,2,,,,,,,
2742,9,8.5,1010,50,0,1.8,82,60,106,62,15,2,1.1
2743,9.3,8.8,1010,50,0,1.7,80,59,79,65,11,2,1
2744,11.6,11.3,1010,47,0,1.7,73,47,95,65,12,2,1
2745,14.1,14.3,1010,42,0,1.1,73,51,95,63,15,2,0.8
2746,15.5,16,1009,35,0,0.7,80,50,109,63,23,7,0.9
2747,18.1,17.8,1008,29,0,2.7,99,74,112,64,30,16,1.2
2748,20.3,19.5,1008,23,0,3.2,118,89,136,66,36,25,1.1
2749,21.3,20.5,1007,22,0,5.4,118,89,139,62,31,42,0.9
