序号,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
82,-0.7,-1,1028,34,0,3.6,19,13,0,29,5,45,0.6
83,0.2,0.1,1028,31,0,3.8,19,13,0,31,6,42,0.6
84,0.6,0.3,1028,28,0,5.7,,,,,,,
85,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
86,1.8,2.5,1026,20,0,4.4,,,,,,,
87,1.9,2.6,1025,21,0,4,,,,,,,
88,1.8,2.9,1025,22,0,2.4,,,,,,,
89,1.6,2.7,1025,21,0,2.6,19,13,0,20,6,60,0.6
90,1.1,2,1025,21,0,3.3,25,17,0,20,5,61,0.5
91,1,2.1,1026,22,0,2.4,28,19,0,27,6,52,0.6
92,0.6,1.4,1026,21,0,3.5,25,17,0,36,6,43,0.6
93,0,1.2,1027,22,0,2.1,,,,,,,
94,-0.5,0.6,1027,23,0,2.1,,,,,,,
95,-1.2,-0.4,1028,23,0,3,,,,,,,
96,-1.8,-1.2,1028,24,0,3.5,19,13,0,31,4,45,0.5
97,-2.1,-1.1,1028,23,0,2.5,,,,,,,
98,-2.6,-2.1,1027,23,0,4.1,19,13,0,28,6,45,0.5
99,-3.4,-2.5,1027,24,0,2.4,15,10,0,24,5,48,0.5
100,-4.1,-3.8,1027,24,0,4.3,18,12,0,24,5,45,0.5
101,-4.3,-3.5,1027,24,0,2.6,16,11,0,21,5,47,0.3
102,-4.6,-3.7,1027,25,0,2.2,16,11,0,18,5,39,0.4
103,-5.1,-4.4,1027,26,0,2.2,13,9,0,18,6,39,0.4
104,-5.2,-4.4,1028,27,0,1.7,12,7,0,21,6,36,0.4
105,-5.7,-4.9,1028,29,0,1.2,14,9,0,28,6,29,0.5
106,-3.3,-2.4,1028,24,0,2.5,,,,,,,
107,-2.3,-1.1,1028,21,0,2.4,,,,,,,
108,-1.2,0.4,1028,20,0,1.5,22,15,18,32,10,28,0.8
109,-0.1,1.2,1026,20,0,2.1,26,18,18,29,9,34,0.8
110,0.2,1.4,1025,22,0,2,28,19,19,35,9,30,0.8
111,0.7,1.3,1024,23,0,3.7,47,31,47,38,18,32,1
112,0.4,0.9,1024,25,0,3.4,70,51,68,41,29,32,1.1
113,0.4,0.9,1024,25,0,3.4,,,,,,,
114,-1.4,-1,1024,31,0,2.2,82,60,76,47,23,28,1
115,-2.1,-1.9,1025,34,0,1.8,,,,,,,
116,-2.2,-2.2,1025,34,0,2.5,97,72,97,66,20,11,1.2
117,-2.6,-2.5,1026,36,0,1.7,113,85,105,68,24,9,1.2
118,-3.3,-3.5,1026,39,0,1.5,,,,,,,
119,-5.1,-6.1,1026,47,0,1.4,,,,,,,
120,-6.1,-7.5,1026,52,0,1,,,,,,,
121,-7.5,-9.2,1026,57,0,0.6,145,111,128,70,37,6,2.8
122,-7.9,-10.4,1026,61,0,1,,,,,,,
123,-6.3,-8.4,1026,57,0,1.5,149,114,136,71,31,6,2.9
124,-7.8,-10.2,1026,61,0,0.9,143,109,123,70,24,6,3
125,-5.8,-6.6,1026,46,0,1.2,,,,,,,
126,-6.1,-7.2,1026,47,0,1.4,,,,,,,
127,-7.5,-9,1026,52,0,1,,,,,,,
128,-6,-7.1,1027,46,0,1.7,,,,,,,
129,-4.2,-5,1028,42,0,2.2,,,,,,,
130,-1.5,-1.4,1028,34,0,2.2,,,,,,,
131,0.4,0.8,1028,26,0,3.4,50,31,50,57,28,7,1.7
132,1.5,2.1,1028,22,0,3.9,52,36,49,52,27,13,1.7
133,2.6,3.6,1027,18,0,3.6,42,29,34,36,19,28,1.1
134,3.5,4.4,1026,17,0,4.4,33,23,0,23,14,43,0.7
135,3.8,4.9,1025,16,0,3.7,23,16,0,14,9,55,0.5
136,3.7,4.6,1025,16,0,4.7,19,12,17,12,7,59,0.4
137,3,4,1026,17,0,3.8,,,,,,,
138,1.8,2.6,1027,20,0,4,,,,,,,
139,1.1,2,1028,22,0,3,,,,,,,
140,0.4,1.3,1028,24,0,2.5,27,8,27,18,4,53,0.4
141,-0.5,-0.5,1029,24,0,6,,,,,,,
142,-1.3,-0.9,1029,26,0,3.6,,,,,,,
143,-2.2,-2.1,1030,27,0,4.2,,,,,,,
144,-2.7,-2.4,1031,28,0,3,,,,,,,
145,-3.1,-2.9,1031,29,0,3.3,,,,,,,
146,-3.6,-4,1031,29,0,5.4,22,10,22,25,5,38,0.4
147,-4,-4,1031,29,0,3.7,,,,,,,
148,-4.3,-4.4,1031,30,0,3.8,17,9,17,20,6,41,0.4
149,-4.5,-4.8,1031,30,0,4.7,,,,,,,
150,-4.8,-5,1030,31,0,3.9,,,,,,,
151,-5.1,-5.2,1030,32,0,3.1,13,6,7,25,5,38,0.3
152,-5.3,-5.4,1030,34,0,2.5,14,4,8,28,6,34,0.4
153,-4.6,-4.7,1030,32,0,3.1,,,,,,,
154,-3.5,-3.7,1030,29,0,4.5,19,9,11,37,9,26,0.6
155,-1.9,-1.7,1029,26,0,4.2,,,,,,,
156,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
157,-0.7,0,1027,25,0,2.8,,,,,,,
158,0.3,0.9,1026,23,0,3.9,17,9,12,15,6,52,0.5
159,1.7,3.1,1025,21,0,1.7,17,9,15,14,6,54,0.4
160,1.7,2.9,1025,20,0,2.3,18,9,9,14,6,56,0.4
161,1.4,2.3,1025,19,0,3.7,18,4,10,14,5,57,0.3
162,0.1,1.3,1025,22,0,1.9,23,16,0,16,5,56,0.3
163,-0.2,0.7,1025,25,0,2.1,17,10,12,20,4,54,0.3
164,-1.8,-0.7,1025,31,0,0.6,16,11,15,26,5,46,0.4
165,-2.4,-1.8,1025,34,0,1,24,16,19,47,9,22,0.6
166,-1.8,-1.1,1025,32,0,1.1,,,,,,,
167,-3.2,-2.9,1025,35,0,1.2,,,,,,,
168,-3.2,-2.7,1025,34,0,1,,,,,,,
169,-2.8,-2.3,1024,31,0,1.7,,,,,,,
170,-4.2,-3.6,1024,34,0,0.9,,,,,,,
171,-3.1,-3.3,1024,31,0,3.8,21,14,15,41,10,25,0.5
172,-3.1,-2.9,1024,30,0,2.7,26,18,20,42,10,23,0.6
173,-3.2,-2.9,1024,30,0,2.4,20,14,17,32,8,33,0.5
174,-3,-2.9,1024,28,0,3.8,15,8,11,29,8,35,0.4
175,-3.4,-2.9,1024,29,0,2.2,14,6,11,27,7,36,0.4
176,-3.3,-3.2,1025,28,0,3.9,13,6,13,24,6,38,0.4
177,-4.1,-4.1,1026,32,0,2.7,18,12,17,33,8,29,0.5
178,-3.8,-4.1,1026,31,0,4.2,20,10,17,39,8,24,0.6
179,-2.3,-2,1026,27,0,3.6,22,9,22,35,7,29,0.6
180,-0.7,0.1,1025,24,0,2.7,37,12,37,32,11,33,0.8
181,0.3,1.2,1025,22,0,2.9,32,21,32,30,11,38,0.7
182,0.8,1.6,1024,21,0,3.5,17,9,17,18,6,51,0.5
